CBO Ocupação 2002;CNAE 2.0 Classe;Faixa Etária;Escolaridade após 2005;Idade;Mun Trab;Raça Cor;Vl Remun Dezembro Nom;Sexo Trabalhador
317110;62031;03;                  09;  24;355220;09;2350.40;                  01
317110;62031;04;                  09;  26;355220;09;2856.57;                  01
317110;62031;03;                  09;  24;355220;09;1900.50;                  01
212405;62031;04;                  09;  28;355220;09;3302.50;                  01
212405;62031;05;                  09;  36;355220;09;5899.85;                  01
212405;62031;05;                  09;  31;355220;09;3144.17;                  01
317110;62031;04;                  09;  25;355220;09;2000.00;                  01
212405;62031;04;                  09;  27;355220;09;6356.87;                  01
212405;62031;05;                  09;  31;355220;09;5990.71;                  01
212405;62031;04;                  09;  28;355220;09;5384.00;                  01
317110;62031;04;                  09;  26;355220;09;2656.43;                  01
212405;62031;04;                  09;  26;355220;09;4614.92;                  01
212405;62031;05;                  09;  30;355220;09;9634.22;                  01
317110;62031;04;                  09;  25;355220;09;2590.00;                  01
317110;62031;03;                  09;  24;355220;09;1600.00;                  01
212405;62031;04;                  09;  29;355220;09;4899.83;                  01
317110;62031;04;                  09;  25;355220;09;2235.00;                  01
212405;62031;05;                  09;  30;355220;09;5895.19;                  01
212405;62031;05;                  09;  30;355220;09;3302.50;                  01
212405;62031;05;                  09;  30;355220;09;5432.07;                  01
212405;62031;04;                  09;  29;355220;09;5276.50;                  01
212405;62031;04;                  09;  26;355220;09;3852.00;                  01
212405;62031;05;                  09;  30;355220;09;6910.52;                  01
212405;62031;04;                  09;  26;355220;09;3958.75;                  01
317110;62031;04;                  09;  28;355220;09;2842.82;                  01
212405;62031;04;                  09;  28;355220;09;4068.68;                  01
212405;62031;04;                  09;  28;355220;09;3394.85;                  01
212405;62031;04;                  09;  29;355220;09;7353.11;                  01
212405;62031;04;                  09;  29;355220;09;7670.36;                  01
317110;62031;06;                  09;  40;355220;09;11835.05;                  01
212405;62031;04;                  09;  26;355220;09;3302.50;                  01
212405;62031;05;                  09;  33;355220;09;5069.00;                  01
212405;62031;05;                  09;  33;355220;09;8000.50;                  01
212405;62031;04;                  09;  28;355220;09;3596.01;                  01
212405;62031;04;                  09;  25;355220;09;4300.00;                  01
212405;62031;04;                  09;  27;355220;09;3303.78;                  01
317110;62031;04;                  09;  26;355220;09;2460.00;                  01
212405;62091;05;                  09;  32;355220;02;4637.80;                  01
212405;62091;05;                  09;  31;355220;02;4200.00;                  01
212405;62091;05;                  09;  32;355220;02;5322.25;                  01
212405;62091;04;                  09;  26;355220;02;3957.98;                  01
317110;62091;04;                  09;  27;355220;02;2783.13;                  01
212405;62091;03;                  09;  23;355220;02;1490.28;                  01
212405;62040;06;                  09;  45;355220;02;1600.00;                  01
142505;62040;05;                  09;  32;355220;02;3214.79;                  01
212405;62040;05;                  09;  38;355220;02;1600.00;                  01
212405;62040;04;                  09;  27;355220;02;2500.00;                  01
212405;62040;04;                  09;  28;355220;02;1600.00;                  01
212405;62040;03;                  09;  23;355220;02;1600.00;                  01
317105;63119;04;                  09;  28;355220;02;1000.00;                  01
317110;62015;03;                  09;  22;355220;02;1397.50;                  01
142535;62040;06;                  09;  43;355220;02;19224.65;                  01
212420;62040;06;                  09;  42;355220;02;7711.15;                  01
212420;62040;05;                  09;  39;355220;02;6147.75;                  01
142535;62040;05;                  09;  33;355220;02;11258.07;                  01
212420;62040;05;                  09;  33;355220;02;3535.58;                  01
212420;62040;04;                  09;  28;355220;02;15486.24;                  01
212420;62040;05;                  09;  31;355220;02;2031.73;                  01
212420;62040;04;                  09;  27;355220;02;6065.18;                  01
212420;62040;05;                  09;  31;355220;02;5253.82;                  01
212420;62040;03;                  09;  24;355220;02;2769.53;                  01
212420;62040;06;                  09;  40;355220;02;5478.07;                  01
212420;62040;03;                  09;  22;355220;02;2116.14;                  01
317210;63119;03;                  09;  23;355220;09;1032.00;                  01
212405;62015;04;                  09;  26;355220;02;2504.82;                  01
212410;62091;04;                  09;  26;355220;02;1000.00;                  01
212305;62015;05;                  09;  30;355220;02;4000.00;                  01
212405;62015;05;                  09;  33;355220;02;2500.00;                  01
212420;62031;06;                  09;  49;355220;02;4134.05;                  01
212420;62031;06;                  09;  42;355220;09;3591.00;                  01
212405;62031;05;                  09;  39;355220;02;2926.85;                  01
212420;62031;05;                  09;  34;355220;09;2052.42;                  01
212420;62031;05;                  09;  31;355220;02;2376.00;                  01
212415;62031;05;                  09;  37;355220;02;2298.97;                  01
212420;62031;05;                  09;  33;355220;09;2229.12;                  01
212405;62031;05;                  09;  33;355220;09;4638.45;                  01
212405;62031;05;                  09;  32;355220;02;5377.24;                  01
212420;62031;04;                  09;  29;355220;09;1782.00;                  01
212420;62031;05;                  09;  30;355220;09;2376.00;                  01
212405;62031;04;                  09;  25;355220;02;1725.74;                  01
212420;62031;05;                  09;  30;355220;09;2637.60;                  01
212405;62031;05;                  09;  32;355220;09;3745.00;                  01
212405;62031;03;                  09;  24;355220;09;1725.74;                  01
212420;62031;05;                  09;  31;355220;09;2242.68;                  01
212420;62031;04;                  09;  26;355220;04;1980.93;                  01
212405;62031;03;                  09;  22;355220;09;1436.40;                  01
212420;62023;06;                  09;  41;355220;02;5600.00;                  01
212405;62023;05;                  09;  35;355220;02;4150.00;                  01
317110;62023;05;                  09;  32;355220;02;2300.00;                  01
212305;62091;04;                  09;  25;355220;02;1200.00;                  01
317110;62091;03;                  09;  22;355220;02;2300.00;                  01
317110;62091;03;                  09;  23;355220;02;2300.00;                  01
212405;62015;04;                  09;  25;355220;02;7859.58;                  01
317210;62015;04;                  09;  28;355220;02;1733.43;                  01
212420;62015;03;                  09;  22;355220;02;1082.00;                  01
212405;62015;03;                  09;  23;355220;02;1082.00;                  01
212405;62091;04;                  09;  29;355220;02;4071.67;                  01
212405;62091;05;                  09;  31;355220;02;2805.99;                  01
142505;62091;04;                  09;  25;355220;02;1939.87;                  01
317110;62091;03;                  09;  23;355220;02;2335.06;                  01
212420;62091;05;                  09;  30;355220;02;5310.70;                  01
212420;62091;05;                  09;  31;355220;02;2041.92;                  01
212310;62015;05;                  09;  39;355220;02;2326.00;                  01
212310;62015;04;                  09;  28;355220;02;1400.00;                  01
317210;62015;05;                  09;  32;355220;02;1153.62;                  01
212420;62031;05;                  09;  32;355220;02;2744.07;                  01
212420;62031;05;                  09;  32;355220;02;2688.00;                  01
212405;62031;04;                  09;  26;355220;02;2693.64;                  01
212405;62031;04;                  09;  28;355220;02;3599.41;                  01
212405;62031;05;                  09;  35;355220;02;3796.60;                  01
212405;62031;03;                  09;  21;355220;02;1610.51;                  01
212405;62031;03;                  09;  22;355220;04;2535.72;                  01
142520;62040;05;                  09;  33;355220;02;8759.86;                  01
212405;62040;04;                  09;  28;355220;09;4084.39;                  01
212405;62040;04;                  09;  26;355220;02;4343.25;                  01
212405;62040;04;                  09;  26;355220;02;4318.71;                  01
212405;62040;03;                  09;  24;355220;09;2354.86;                  01
317110;62031;04;                  09;  27;355220;02;1082.00;                  01
212420;62040;04;                  10;  29;355220;02;5305.91;                  01
317105;63119;03;                  07;  22;355220;02;1256.67;                  02
212420;63119;05;                  07;  30;355220;02;2977.34;                  02
317210;63119;03;                  07;  20;355220;09;1032.00;                  02
142530;62091;05;                  07;  33;355220;02;3855.40;                  02
212420;62091;04;                  07;  28;355220;02;1829.21;                  02
212420;62091;05;                  07;  30;355220;02;2977.34;                  02
212420;62091;04;                  07;  27;355220;02;4035.96;                  02
212420;62091;04;                  07;  26;355220;02;1751.37;                  02
212420;62091;04;                  07;  26;355220;02;1234.76;                  02
212420;62091;03;                  07;  22;355220;02;2276.79;                  02
212315;62031;04;                  07;  27;355220;09;918.00;                  02
212415;62031;03;                  07;  21;355220;02;1458.00;                  02
212420;62031;03;                  07;  23;355220;09;1513.65;                  02
317110;63194;03;                  07;  21;355220;02;1082.00;                  02
212420;62091;03;                  07;  18;355220;02;1443.20;                  02
212420;62015;06;                  07;  41;355220;02;3051.94;                  02
212420;62015;05;                  07;  30;355220;02;2600.00;                  02
317110;62031;03;                  08;  21;355220;09;1857.54;                  02
317110;62031;03;                  08;  22;355220;09;1716.00;                  02
212405;62091;05;                  08;  31;355220;02;2939.60;                  02
212420;62091;05;                  08;  30;355220;02;2806.01;                  02
317110;62091;03;                  08;  21;355220;02;1220.52;                  02
212420;62031;03;                  08;  23;355220;02;2916.00;                  02
212420;62031;03;                  08;  24;355220;02;2183.93;                  02
212415;62015;03;                  08;  22;355220;08;1000.00;                  02
212405;62040;03;                  08;  21;355220;09;2354.87;                  02
212405;62031;06;                  09;  43;355220;09;6925.78;                  02
212405;62031;05;                  09;  37;355220;09;6618.62;                  02
212405;62031;05;                  09;  31;355220;09;4234.45;                  02
212405;62031;05;                  09;  31;355220;09;5878.57;                  02
212405;62031;05;                  09;  39;355220;09;4461.25;                  02
212405;62031;04;                  09;  27;355220;09;3238.12;                  02
212405;62031;04;                  09;  29;355220;09;3302.50;                  02
212405;62031;04;                  09;  28;355220;09;4779.63;                  02
212405;62031;04;                  09;  27;355220;09;4632.58;                  02
212405;62031;03;                  09;  21;355220;09;4500.00;                  02
317110;62031;03;                  09;  22;355220;09;1600.00;                  02
212405;62031;06;                  09;  44;355220;09;5660.79;                  02
212405;62031;03;                  09;  24;355220;09;3703.28;                  02
212405;62031;04;                  09;  25;355220;09;3825.64;                  02
317110;62031;04;                  09;  26;355220;09;3417.97;                  02
212420;62091;05;                  09;  39;355220;02;3965.22;                  02
212405;62091;05;                  09;  35;355220;02;4200.00;                  02
212405;62091;05;                  09;  32;355220;02;1491.07;                  02
212420;62091;05;                  09;  32;355220;02;3806.61;                  02
212405;62091;05;                  09;  30;355220;02;5405.75;                  02
212405;62040;06;                  09;  42;355220;02;1600.00;                  02
212420;62040;05;                  09;  36;355220;02;3858.89;                  02
212420;62040;05;                  09;  31;355220;02;4554.08;                  02
212420;62040;05;                  09;  30;355220;02;2467.23;                  02
212420;62040;04;                  09;  28;355220;02;10051.61;                  02
212405;62031;05;                  09;  33;355220;02;3620.11;                  02
212405;62031;03;                  09;  21;355220;09;1172.82;                  02
317110;62031;03;                  09;  24;355220;02;1282.00;                  02
212420;62023;05;                  09;  35;355220;02;3000.00;                  02
212405;62023;05;                  09;  37;355220;02;6000.00;                  02
212420;62091;04;                  09;  28;355220;02;1450.00;                  02
212420;62091;03;                  09;  24;355220;02;1780.00;                  02
212415;62015;04;                  09;  26;355220;02;2050.00;                  02
212405;63194;04;                  09;  26;355220;02;1056.00;                  02
212405;63194;03;                  09;  22;355220;02;1056.00;                  02
317105;63194;04;                  09;  26;355220;08;549.44;                  02
212405;62040;05;                  09;  30;355220;02;2904.13;                  02
212405;62040;03;                  09;  22;355220;02;1500.00;                  02
317205;62091;04;                  09;  29;355220;02;1388.04;                  02
317115;62015;03;                  09;  22;355220;02;439.99;                  02
212405;62031;04;                  09;  27;355220;02;2831.27;                  02
212405;62031;04;                  09;  27;355220;02;2300.00;                  02
212405;62040;03;                  09;  22;355220;09;2354.87;                  02
212405;62040;03;                  09;  23;355220;02;2354.87;                  02
